1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
306	3	4	1	0.6046	-0.02548	0.5554	-0.4969	0.7312	-0.2876	0.04588	-0.2142	3.255	-0.7545	0.07816	0.08834	0.3952	-0.1706	0.06212	-0.08557	0.576	0.009538	0.07652	-0.1154	0.6707	-0.1035	0.1177	-0.1306	0.1428	-0.2158	-0.07939	-0.1418	0.3801	-0.6369	0.09589	-0.3087
306	3	4	1	0.6926	-0.03295	0.6347	-0.4514	0.7148	-0.2812	0.09014	-0.2136	3.468	-0.8403	0.1018	0.1239	0.4554	-0.146	0.09747	-0.05537	0.6047	0.008655	0.1279	-0.08187	0.717	-0.1188	0.1727	-0.1065	0.233	-0.2311	-0.01044	-0.1504	0.4597	-0.6317	0.1673	-0.298
306	3	4	1	0.7796	-0.06649	0.7099	-0.4069	0.5742	-0.2259	0.137	-0.2204	3.525	-0.9853	0.1216	0.1481	0.5134	-0.1236	0.1294	-0.02925	0.6331	0.003726	0.1773	-0.0529	0.7645	-0.1342	0.2261	-0.08785	0.3212	-0.245	0.06046	-0.1615	0.5368	-0.6257	0.238	-0.2868
306	3	4	1	0.8619	-0.1225	0.7803	-0.3663	0.2879	-0.1132	0.1849	-0.2338	3.401	-1.196	0.1391	0.1597	0.5677	-0.1051	0.1574	-0.008093	0.6615	-0.004946	0.2234	-0.0295	0.8131	-0.1491	0.2765	-0.07485	0.4058	-0.2556	0.1305	-0.1741	0.6083	-0.6204	0.3058	-0.276
306	3	4	1	0.9364	-0.1949	0.8469	-0.3314	-0.1398	0.055	0.2339	-0.2516	3.107	-1.466	0.1574	0.1585	0.6177	-0.09185	0.1815	0.007768	0.6904	-0.01677	0.2656	-0.01182	0.8626	-0.1626	0.3235	-0.06705	0.486	-0.262	0.1986	-0.1864	0.6721	-0.6175	0.3705	-0.2659
306	3	4	1	1.001	-0.2755	0.9117	-0.3035	-0.6694	0.2633	0.2847	-0.2702	2.687	-1.771	0.1794	0.1452	0.6631	-0.08467	0.2028	0.0184	0.7203	-0.03106	0.3039	0.0007058	0.9127	-0.1739	0.3674	-0.06337	0.5611	-0.2648	0.2655	-0.1968	0.7273	-0.6187	0.4334	-0.2566
306	3	4	1	1.056	-0.3542	0.9776	-0.2828	-1.224	0.4815	0.3389	-0.2848	2.223	-2.066	0.2079	0.1216	0.7038	-0.0839	0.2226	0.02417	0.751	-0.04711	0.3388	0.009036	0.963	-0.182	0.4087	-0.06255	0.6303	-0.2664	0.333	-0.2035	0.7744	-0.6255	0.4967	-0.2477
306	3	4	1	1.099	-0.4196	1.047	-0.2693	-1.695	0.6666	0.398	-0.2901	1.816	-2.292	0.2442	0.0902	0.7397	-0.08933	0.2421	0.02555	0.7822	-0.06429	0.3709	0.01427	1.013	-0.1858	0.4481	-0.06347	0.6927	-0.2698	0.4033	-0.2052	0.8142	-0.6392	0.5631	-0.2385
306	3	4	1	1.131	-0.4597	1.122	-0.2625	-1.951	0.7676	0.4625	-0.2806	1.58	-2.38	0.288	0.05425	0.7704	-0.1001	0.2623	0.0231	0.8132	-0.08195	0.4008	0.01743	1.061	-0.1846	0.4857	-0.06533	0.7471	-0.2787	0.478	-0.2008	0.8483	-0.6603	0.6348	-0.2286
306	3	4	1	1.152	-0.4636	1.202	-0.2617	-1.861	0.7319	0.5322	-0.2518	1.627	-2.259	0.337	0.01775	0.7954	-0.1149	0.2834	0.01745	0.8426	-0.09935	0.4287	0.01937	1.107	-0.1774	0.5215	-0.06774	0.7921	-0.2961	0.5579	-0.1904	0.8782	-0.6886	0.7128	-0.2171
306	3	4	1	1.162	-0.4235	1.285	-0.2659	-1.305	0.5132	0.6055	-0.2011	2.058	-1.866	0.3877	-0.01494	0.8139	-0.1316	0.3053	0.009361	0.8693	-0.1156	0.4548	0.02081	1.15	-0.1639	0.5551	-0.07064	0.8273	-0.3238	0.6424	-0.1742	0.9055	-0.723	0.7969	-0.2036
306	3	4	1	1.162	-0.3367	1.37	-0.2738	-0.2078	0.08172	0.6801	-0.129	2.959	-1.164	0.4355	-0.03947	0.8253	-0.1479	0.3271	-0.0001799	0.8923	-0.1294	0.4792	0.02235	1.188	-0.144	0.586	-0.07408	0.8531	-0.3618	0.7301	-0.1536	0.9315	-0.7617	0.8855	-0.188
306	3	4	1	1.155	-0.209	1.452	-0.284	1.429	-0.5621	0.7536	-0.03994	4.371	-0.1616	0.4763	-0.05217	0.8298	-0.1613	0.3481	-0.0099	0.911	-0.1398	0.5018	0.02459	1.222	-0.1182	0.614	-0.07801	0.8717	-0.408	0.8188	-0.1301	0.9576	-0.8021	0.9762	-0.1701
306	3	4	1	1.145	-0.05644	1.526	-0.2947	3.475	-1.367	0.8242	0.05664	6.251	1.051	0.5075	-0.05084	0.8282	-0.1697	0.3672	-0.0183	0.9258	-0.1456	0.5234	0.02816	1.253	-0.08754	0.6396	-0.08213	0.8865	-0.4582	0.9063	-0.1058	0.9851	-0.8416	1.066	-0.1503
306	3	4	1	1.137	0.09263	1.589	-0.3043	5.605	-2.205	0.8915	0.1465	8.357	2.256	0.5288	-0.03545	0.8221	-0.1718	0.3842	-0.02384	0.9378	-0.1462	0.5446	0.03367	1.281	-0.05361	0.6635	-0.08584	0.9025	-0.5071	0.9907	-0.08242	1.015	-0.8774	1.152	-0.129
306	3	4	1	1.139	0.1984	1.637	-0.3109	7.243	-2.849	0.9564	0.2114	10.1	3.081	0.5425	-0.008823	0.8137	-0.1672	0.3987	-0.02519	0.949	-0.1419	0.5664	0.04159	1.308	-0.0184	0.6872	-0.08837	0.9243	-0.5493	1.07	-0.06174	1.048	-0.9071	1.231	-0.1065
306	3	4	1	1.159	0.2132	1.67	-0.3134	7.611	-2.994	1.021	0.2312	10.52	3.057	0.5529	0.02317	0.8056	-0.157	0.4111	-0.02155	0.9616	-0.1338	0.5898	0.05211	1.336	0.01587	0.7118	-0.08896	0.9562	-0.5796	1.145	-0.04493	1.084	-0.9292	1.302	-0.08333
